,timestamp,open,high,low,close,volume
3408,2005-01-03,22.0,22.2,21.0,21.1,12498
3407,2005-01-04,20.6,21.75,20.6,21.4,3025
3406,2005-01-05,20.5,22.0,20.0,21.3,6301
3405,2005-01-06,21.0,21.0,19.85,20.75,600
3404,2005-01-07,21.0,21.05,20.0,20.1,2060
3403,2005-01-10,21.0,21.0,19.75,20.0,5702
3402,2005-01-11,20.8,20.8,20.0,20.0,300
3401,2005-01-12,18.75,18.75,18.75,18.75,1000
3400,2005-01-17,17.25,18.15,17.2,18.15,500
3399,2005-01-18,18.0,18.0,17.75,17.8,1902
3398,2005-01-19,18.9,19.0,17.5,18.55,1740
3397,2005-01-20,17.75,17.8,17.75,17.8,775
3396,2005-01-25,18.7,18.7,18.7,18.7,20
3395,2005-01-27,19.4,19.4,19.4,19.4,10
3394,2005-01-28,18.5,19.0,18.5,19.0,650
3393,2005-01-31,20.0,20.0,17.6,18.2,880
3392,2005-02-01,16.55,16.55,16.55,16.55,1
3391,2005-02-02,17.0,18.0,17.0,17.0,851
3390,2005-02-03,18.05,19.0,18.0,18.1,4350
3389,2005-02-04,15.05,19.9,15.05,18.75,2405
3388,2005-02-07,15.5,21.8,15.5,19.8,954
3387,2005-02-08,18.3,20.0,18.0,19.9,2303
3386,2005-02-09,15.95,19.6,15.95,19.35,1500
3385,2005-02-10,18.2,19.9,18.2,19.0,5301
3384,2005-02-11,19.0,19.0,18.5,18.5,400
3383,2005-02-14,18.6,19.75,16.5,18.25,3026
3382,2005-02-15,19.4,21.0,18.7,18.7,3703
3381,2005-02-16,18.0,19.65,18.0,18.05,208
3380,2005-02-17,17.0,18.75,17.0,18.75,52
3379,2005-02-18,18.0,18.2,18.0,18.1,1090
3378,2005-02-21,17.4,18.95,17.4,18.0,204
3377,2005-02-22,18.4,21.6,18.4,21.5,20388
3376,2005-02-23,21.5,25.8,21.5,22.75,14935
3375,2005-02-24,23.0,27.3,23.0,26.9,35530
3374,2005-02-25,30.0,30.0,26.15,27.05,32276
3373,2005-02-28,29.7,29.7,26.25,26.35,13166
3372,2005-03-01,27.0,28.7,25.5,27.25,17796
3371,2005-03-02,26.9,28.5,26.5,27.25,4650
3370,2005-03-03,27.1,28.45,26.25,27.65,11474
3369,2005-03-04,28.7,28.7,27.95,27.95,7090
3368,2005-03-07,28.0,28.5,27.25,27.85,7923
3367,2005-03-08,28.95,29.0,27.0,27.3,2060
3366,2005-03-09,28.0,28.0,25.25,27.0,6559
3365,2005-03-10,27.5,27.5,26.0,27.25,3650
3364,2005-03-11,28.0,28.3,26.5,27.6,4105
