,timestamp,open,high,low,close,volume
3983,2005-01-03,0.0,0.0,0.0,0.0,0
3982,2005-01-04,0.0,0.0,0.0,0.0,0
3981,2005-01-05,0.0,0.0,0.0,0.0,0
3980,2005-01-06,0.0,0.0,0.0,0.0,0
3979,2005-01-07,0.0,0.0,0.0,0.0,0
3978,2005-01-10,0.0,0.0,0.0,0.0,0
3977,2005-01-11,0.0,0.0,0.0,0.0,0
3976,2005-01-12,0.0,0.0,0.0,0.0,0
3975,2005-01-13,0.0,0.0,0.0,0.0,0
3974,2005-01-14,0.0,0.0,0.0,0.0,0
3973,2005-01-17,0.0,0.0,0.0,0.0,0
3972,2005-01-18,0.0,0.0,0.0,0.0,0
3971,2005-01-19,0.0,0.0,0.0,0.0,0
3970,2005-01-20,0.0,0.0,0.0,0.0,0
3969,2005-01-24,0.0,0.0,0.0,0.0,0
3968,2005-01-25,0.0,0.0,0.0,0.0,0
3967,2005-01-27,0.0,0.0,0.0,0.0,0
3966,2005-01-28,0.0,0.0,0.0,0.0,0
3965,2005-01-31,0.0,0.0,0.0,0.0,0
3964,2005-02-01,0.0,0.0,0.0,0.0,0
3963,2005-02-02,0.0,0.0,0.0,0.0,0
3962,2005-02-03,0.0,0.0,0.0,0.0,0
3961,2005-02-04,0.0,0.0,0.0,0.0,0
3960,2005-02-07,0.0,0.0,0.0,0.0,0
3959,2005-02-08,0.0,0.0,0.0,0.0,0
3958,2005-02-09,0.0,0.0,0.0,0.0,0
3957,2005-02-10,0.0,0.0,0.0,0.0,0
3956,2005-02-11,0.0,0.0,0.0,0.0,0
3955,2005-02-14,0.0,0.0,0.0,0.0,0
3954,2005-02-15,0.0,0.0,0.0,0.0,0
3953,2005-02-16,0.0,0.0,0.0,0.0,0
3952,2005-02-17,0.0,0.0,0.0,0.0,0
3951,2005-02-18,0.0,0.0,0.0,0.0,0
3950,2005-02-21,0.0,0.0,0.0,0.0,0
3949,2005-02-22,0.0,0.0,0.0,0.0,0
3948,2005-02-23,0.0,0.0,0.0,0.0,0
3947,2005-02-24,0.0,0.0,0.0,0.0,0
3946,2005-02-25,0.0,0.0,0.0,0.0,0
3945,2005-02-28,0.0,0.0,0.0,0.0,0
3944,2005-03-01,0.0,0.0,0.0,0.0,0
3943,2005-03-02,0.0,0.0,0.0,0.0,0
3942,2005-03-03,0.0,0.0,0.0,0.0,0
3941,2005-03-04,0.0,0.0,0.0,0.0,0
3940,2005-03-07,0.0,0.0,0.0,0.0,0
3939,2005-03-08,0.0,0.0,0.0,0.0,0
3938,2005-03-09,0.0,0.0,0.0,0.0,0
3937,2005-03-10,0.0,0.0,0.0,0.0,0
3936,2005-03-11,0.0,0.0,0.0,0.0,0
3935,2005-03-14,0.0,0.0,0.0,0.0,0
3934,2005-03-15,0.0,0.0,0.0,0.0,0
3933,2005-03-16,0.0,0.0,0.0,0.0,0
3932,2005-03-17,0.0,0.0,0.0,0.0,0
3931,2005-03-18,0.0,0.0,0.0,0.0,0
3930,2005-03-21,0.0,0.0,0.0,0.0,0
3929,2005-03-22,0.0,0.0,0.0,0.0,0
3928,2005-03-23,0.0,0.0,0.0,0.0,0
3927,2005-03-24,0.0,0.0,0.0,0.0,0
3926,2005-03-28,0.0,0.0,0.0,0.0,0
3925,2005-03-29,0.0,0.0,0.0,0.0,0
3924,2005-03-30,0.0,0.0,0.0,0.0,0
3923,2005-03-31,0.0,0.0,0.0,0.0,0
3922,2005-04-01,0.0,0.0,0.0,0.0,0
3921,2005-04-04,0.0,0.0,0.0,0.0,0
3920,2005-04-05,0.0,0.0,0.0,0.0,0
3919,2005-04-06,0.0,0.0,0.0,0.0,0
3918,2005-04-07,0.0,0.0,0.0,0.0,0
3917,2005-04-08,0.0,0.0,0.0,0.0,0
3916,2005-04-11,0.0,0.0,0.0,0.0,0
3915,2005-04-12,0.0,0.0,0.0,0.0,0
3914,2005-04-13,0.0,0.0,0.0,0.0,0
3913,2005-04-15,0.0,0.0,0.0,0.0,0
3912,2005-04-18,0.0,0.0,0.0,0.0,0
3911,2005-04-19,0.0,0.0,0.0,0.0,0
3910,2005-04-20,0.0,0.0,0.0,0.0,0
3909,2005-04-21,0.0,0.0,0.0,0.0,0
3908,2005-04-22,0.0,0.0,0.0,0.0,0
3907,2005-04-25,0.0,0.0,0.0,0.0,0
3906,2005-04-26,0.0,0.0,0.0,0.0,0
3905,2005-04-27,0.0,0.0,0.0,0.0,0
3904,2005-04-28,0.0,0.0,0.0,0.0,0
3903,2005-04-29,0.0,0.0,0.0,0.0,0
3902,2005-05-02,0.0,0.0,0.0,0.0,0
3901,2005-05-03,0.0,0.0,0.0,0.0,0
3900,2005-05-04,0.0,0.0,0.0,0.0,0
3899,2005-05-05,0.0,0.0,0.0,0.0,0
3898,2005-05-06,0.0,0.0,0.0,0.0,0
3897,2005-05-09,0.0,0.0,0.0,0.0,0
3896,2005-05-10,0.0,0.0,0.0,0.0,0
3895,2005-05-11,0.0,0.0,0.0,0.0,0
3894,2005-05-12,0.0,0.0,0.0,0.0,0
3893,2005-05-13,0.0,0.0,0.0,0.0,0
3892,2005-05-16,0.0,0.0,0.0,0.0,0
3891,2005-05-17,0.0,0.0,0.0,0.0,0
3890,2005-05-18,0.0,0.0,0.0,0.0,0
3889,2005-05-19,0.0,0.0,0.0,0.0,0
3888,2005-05-20,0.0,0.0,0.0,0.0,0
3887,2005-05-23,0.0,0.0,0.0,0.0,0
3886,2005-05-24,0.0,0.0,0.0,0.0,0
3885,2005-05-25,0.0,0.0,0.0,0.0,0
3884,2005-05-26,0.0,0.0,0.0,0.0,0
3883,2005-05-27,0.0,0.0,0.0,0.0,0
3882,2005-05-30,0.0,0.0,0.0,0.0,0
3881,2005-05-31,0.0,0.0,0.0,0.0,0
3880,2005-06-01,0.0,0.0,0.0,0.0,0
3879,2005-06-02,0.0,0.0,0.0,0.0,0
3878,2005-06-03,0.0,0.0,0.0,0.0,0
3877,2005-06-06,0.0,0.0,0.0,0.0,0
3876,2005-06-07,0.0,0.0,0.0,0.0,0
3875,2005-06-08,0.0,0.0,0.0,0.0,0
3874,2005-06-09,0.0,0.0,0.0,0.0,0
3873,2005-06-10,0.0,0.0,0.0,0.0,0
3872,2005-06-13,0.0,0.0,0.0,0.0,0
3871,2005-06-14,0.0,0.0,0.0,0.0,0
3870,2005-06-15,0.0,0.0,0.0,0.0,0
3869,2005-06-16,0.0,0.0,0.0,0.0,0
3868,2005-06-17,0.0,0.0,0.0,0.0,0
3867,2005-06-20,0.0,0.0,0.0,0.0,0
3866,2005-06-21,0.0,0.0,0.0,0.0,0
3865,2005-06-22,0.0,0.0,0.0,0.0,0
3864,2005-06-23,0.0,0.0,0.0,0.0,0
3863,2005-06-24,0.0,0.0,0.0,0.0,0
3862,2005-06-27,0.0,0.0,0.0,0.0,0
3861,2005-06-28,0.0,0.0,0.0,0.0,0
3860,2005-06-29,0.0,0.0,0.0,0.0,0
3859,2005-06-30,0.0,0.0,0.0,0.0,0
3858,2005-07-01,0.0,0.0,0.0,0.0,0
3857,2005-07-04,0.0,0.0,0.0,0.0,0
3856,2005-07-05,0.0,0.0,0.0,0.0,0
3855,2005-07-06,0.0,0.0,0.0,0.0,0
3854,2005-07-07,0.0,0.0,0.0,0.0,0
3853,2005-07-08,0.0,0.0,0.0,0.0,0
3852,2005-07-11,0.0,0.0,0.0,0.0,0
3851,2005-07-12,0.0,0.0,0.0,0.0,0
3850,2005-07-13,0.0,0.0,0.0,0.0,0
3849,2005-07-14,0.0,0.0,0.0,0.0,0
3848,2005-07-15,0.0,0.0,0.0,0.0,0
3847,2005-07-18,0.0,0.0,0.0,0.0,0
3846,2005-07-19,0.0,0.0,0.0,0.0,0
3845,2005-07-20,0.0,0.0,0.0,0.0,0
3844,2005-07-21,0.0,0.0,0.0,0.0,0
3843,2005-07-22,0.0,0.0,0.0,0.0,0
3842,2005-07-25,0.0,0.0,0.0,0.0,0
3841,2005-07-26,0.0,0.0,0.0,0.0,0
3840,2005-07-27,0.0,0.0,0.0,0.0,0
3839,2005-07-28,0.0,0.0,0.0,0.0,0
3838,2005-07-29,0.0,0.0,0.0,0.0,0
3837,2005-08-01,0.0,0.0,0.0,0.0,0
3836,2005-08-02,0.0,0.0,0.0,0.0,0
3835,2005-08-03,0.0,0.0,0.0,0.0,0
3834,2005-08-04,0.0,0.0,0.0,0.0,0
3833,2005-08-05,0.0,0.0,0.0,0.0,0
3832,2005-08-08,0.0,0.0,0.0,0.0,0
