,timestamp,open,high,low,close,volume
1525,2016-01-28,39.0,40.95,37.05,37.05,396527
1524,2016-01-29,35.2,38.9,35.2,35.35,209385
1523,2016-02-01,35.95,35.95,33.6,33.6,41507
1522,2016-02-02,31.95,31.95,31.95,31.95,5981
1521,2016-02-03,30.4,31.65,30.4,30.7,19342
1520,2016-02-04,29.35,31.3,29.35,30.5,28174
1519,2016-02-05,29.75,32.0,29.75,32.0,29189
1518,2016-02-08,31.85,33.6,30.4,30.6,107481
1517,2016-02-09,29.3,31.9,29.2,30.0,32577
1516,2016-02-10,28.95,31.0,28.85,29.6,19032
1515,2016-02-11,29.95,33.2,29.0,30.0,78168
1514,2016-02-12,29.65,31.1,28.5,29.3,31703
1513,2016-02-15,30.0,33.0,28.1,28.75,154179
1512,2016-02-16,29.0,29.9,27.6,27.65,51993
1511,2016-02-17,27.95,29.95,27.5,28.4,45293
1510,2016-02-18,29.3,31.0,28.75,29.45,33513
1509,2016-02-19,29.45,30.8,28.75,29.4,45889
1508,2016-02-22,29.5,35.25,29.5,32.6,670976
1507,2016-02-23,32.4,32.45,29.5,29.85,25301
1506,2016-02-24,30.5,32.0,28.6,29.0,101821
1505,2016-02-25,29.85,30.65,28.3,29.0,60843
1504,2016-02-26,29.5,32.0,29.0,31.0,78000
1503,2016-02-29,30.05,32.5,28.6,28.9,97874
1502,2016-03-01,29.8,30.45,28.65,29.0,65431
1501,2016-03-02,30.0,30.0,28.8,29.45,35386
1500,2016-03-03,29.5,31.0,28.8,29.0,112834
1499,2016-03-04,29.5,29.7,28.6,29.0,41143
1498,2016-03-08,29.5,30.0,28.85,28.95,148446
1497,2016-03-09,29.4,29.5,28.85,28.9,24760
1496,2016-03-10,29.5,29.5,28.7,29.0,5899
1495,2016-03-11,28.75,29.25,28.5,28.6,25228
1494,2016-03-14,28.75,29.0,28.5,28.65,15201
1493,2016-03-15,29.0,29.0,28.15,28.3,11542
1492,2016-03-16,28.35,29.7,28.2,28.4,48466
1491,2016-03-17,28.6,30.2,27.8,28.1,138802
1490,2016-03-18,28.15,28.75,27.45,27.95,76523
1489,2016-03-21,27.4,28.5,27.4,27.95,39960
1488,2016-03-22,27.75,28.0,27.15,27.7,55377
1487,2016-03-23,28.4,28.8,27.3,27.4,31135
1486,2016-03-28,27.15,27.15,24.05,25.95,19032
1485,2016-03-29,26.0,27.0,25.75,25.95,59776
1484,2016-03-30,25.9,28.0,25.9,26.5,70990
1483,2016-03-31,26.5,26.95,26.25,26.5,2755
1482,2016-04-01,27.0,27.8,26.4,26.5,59218
1481,2016-04-04,26.55,29.0,26.55,28.9,228238
1480,2016-04-05,28.65,29.0,27.2,27.5,21954
1479,2016-04-06,27.5,28.9,27.5,28.65,81011
1478,2016-04-07,28.35,31.4,28.2,30.8,296539
1477,2016-04-08,30.95,31.75,29.8,30.9,180332
1476,2016-04-11,30.9,32.45,30.55,32.25,108171
1475,2016-04-12,32.9,33.0,31.65,31.9,52366
1474,2016-04-13,31.8,32.5,31.1,31.45,12460
1473,2016-04-18,31.55,32.95,31.55,31.95,20888
1472,2016-04-20,31.65,34.9,31.65,34.05,329985
1471,2016-04-21,33.85,36.0,33.8,35.25,217878
1470,2016-04-22,35.25,38.2,34.65,37.15,496472
1469,2016-04-25,37.0,38.05,36.2,36.8,89612
1468,2016-04-26,35.55,40.25,35.55,39.6,618826
1467,2016-04-27,39.5,41.4,34.0,35.45,253522
1466,2016-04-28,35.9,36.5,33.7,34.15,47783
1465,2016-04-29,33.9,35.5,33.9,34.9,7684
1464,2016-05-02,34.0,34.4,33.5,33.8,6703
1463,2016-05-03,34.5,35.0,33.85,34.45,3084
1462,2016-05-04,34.1,37.7,33.4,36.75,288032
1461,2016-05-05,36.2,37.0,34.7,34.95,83700
1460,2016-05-06,34.75,35.9,34.25,34.3,14906
1459,2016-05-09,34.75,35.4,34.35,34.5,9439
1458,2016-05-10,34.5,35.75,34.5,35.0,21906
1457,2016-05-11,35.3,36.0,34.75,35.0,20634
1456,2016-05-12,34.85,35.0,34.75,34.75,1227
1455,2016-05-13,35.4,36.25,34.75,35.45,43853
1454,2016-05-16,35.5,37.0,35.5,36.0,36167
1453,2016-05-17,36.05,36.95,35.25,36.35,36043
1452,2016-05-18,36.15,38.5,36.15,38.25,52340
1451,2016-05-19,37.7,40.15,37.55,38.25,96475
1450,2016-05-20,38.0,44.2,37.65,38.35,808416
1449,2016-05-23,38.9,41.1,38.9,40.2,43188
1448,2016-05-24,39.15,41.4,38.25,38.8,20532
1447,2016-05-25,38.0,40.9,38.0,40.1,78174
1446,2016-05-26,38.55,42.7,38.55,42.15,257527
1445,2016-05-27,42.95,44.85,41.3,41.8,138820
1444,2016-05-30,40.2,44.5,40.2,41.15,99762
1443,2016-05-31,41.45,41.5,39.55,40.25,137239
1442,2016-06-01,40.0,40.9,39.0,39.0,52857
1441,2016-06-02,39.05,40.0,38.05,38.7,59337
1440,2016-06-03,38.7,39.1,37.5,38.0,56321
1439,2016-06-06,38.0,38.45,35.5,36.15,53478
1438,2016-06-07,35.65,36.35,35.2,35.8,13434
1437,2016-06-08,35.2,36.3,35.0,35.6,50466
1436,2016-06-09,34.35,36.05,34.0,35.5,11751
1435,2016-06-10,36.55,38.4,36.0,36.8,67859
1434,2016-06-13,37.45,37.45,35.35,36.0,8334
1433,2016-06-14,36.5,37.4,36.45,36.85,17366
1432,2016-06-15,37.05,37.6,36.25,36.95,24170
1431,2016-06-16,36.85,41.1,36.85,40.8,445237
1430,2016-06-17,41.1,41.15,38.55,38.85,5757
1429,2016-06-20,41.5,42.0,39.0,40.8,119054
1428,2016-06-21,41.8,44.9,39.6,40.0,545493
1427,2016-06-22,40.3,41.0,38.35,39.0,37239
1426,2016-06-23,39.0,39.8,38.4,39.0,49420
1425,2016-06-24,38.2,38.35,37.5,38.0,38763
1424,2016-06-27,39.15,39.15,38.1,38.55,3504
1423,2016-06-28,38.2,39.0,38.2,38.65,12424
1422,2016-06-29,38.75,39.95,38.75,39.1,20601
1421,2016-06-30,39.4,39.5,38.6,38.9,6355
1420,2016-07-01,39.1,39.2,38.8,39.0,8734
1419,2016-07-04,39.75,44.5,39.1,44.0,592644
1418,2016-07-05,44.1,46.0,43.2,44.25,220776
1417,2016-07-07,44.8,47.0,43.1,46.2,179969
1416,2016-07-08,46.7,47.7,45.5,47.0,174766
1415,2016-07-11,47.0,49.95,46.9,47.85,237524
1414,2016-07-12,48.5,48.5,45.55,46.1,54319
1413,2016-07-13,46.95,48.0,44.4,44.65,77766
1412,2016-07-14,45.3,45.9,44.0,44.65,25517
1411,2016-07-15,44.65,44.65,43.35,43.75,7801
1410,2016-07-18,45.4,52.5,44.25,51.95,524851
1409,2016-07-19,50.7,54.0,49.25,49.6,247873
1408,2016-07-20,50.0,54.7,48.85,51.45,711725
1407,2016-07-21,51.0,54.4,51.0,53.05,211939
1406,2016-07-22,53.25,53.45,51.1,51.3,37276
1405,2016-07-25,52.4,59.0,51.0,57.3,539701
1404,2016-07-26,58.95,65.7,55.55,56.25,1037910
1403,2016-07-27,57.5,58.0,55.05,55.95,120348
1402,2016-07-28,56.8,58.0,53.5,54.75,205154
1401,2016-07-29,55.1,56.9,54.15,54.65,139849
1400,2016-08-01,55.4,57.8,55.0,56.55,161361
1399,2016-08-02,58.8,66.4,58.0,62.8,993444
1398,2016-08-03,62.6,70.7,62.1,66.15,1066989
1397,2016-08-04,65.5,68.35,65.5,66.85,127180
1396,2016-08-05,67.4,70.9,66.8,67.65,369112
1395,2016-08-08,68.0,73.8,66.2,70.75,445859
1394,2016-08-09,71.9,75.7,69.4,71.05,450172
1393,2016-08-10,71.4,75.0,69.7,73.0,399573
1392,2016-08-11,73.7,76.35,73.05,74.1,322266
1391,2016-08-12,75.8,75.9,68.25,70.55,179979
1390,2016-08-16,71.5,81.2,71.5,76.85,901473
1389,2016-08-17,76.0,82.55,75.9,78.6,504574
1388,2016-08-18,79.4,81.0,77.45,78.1,324780
1387,2016-08-19,78.0,81.0,77.2,80.65,171994
1386,2016-08-22,80.85,84.1,80.75,83.35,418065
1385,2016-08-23,83.05,83.8,77.6,79.3,141667
1384,2016-08-24,79.0,80.35,77.85,78.2,48537
1383,2016-08-25,78.95,81.2,77.35,77.85,58286
1382,2016-08-26,80.5,80.5,75.4,76.7,40348
1381,2016-08-29,77.05,77.4,72.5,74.7,50007
1380,2016-08-30,75.05,78.4,74.9,75.95,49749
