,timestamp,open,high,low,close,volume
3580,2007-04-17,29.4,29.4,29.4,29.4,4440
3579,2007-04-18,30.87,30.87,28.55,30.87,2040
3578,2007-04-19,31.0,31.0,31.0,31.0,240
3577,2007-04-20,32.55,32.55,29.46,29.46,1080
3576,2007-04-23,27.99,27.99,27.99,27.99,360
3575,2007-04-25,26.6,26.6,26.6,26.6,120
3574,2007-05-04,26.5,26.5,26.5,26.5,120
3573,2007-05-07,27.5,27.5,27.5,27.5,120
3572,2007-05-09,26.15,26.15,26.15,26.15,1800
3571,2007-05-10,27.4,27.4,24.85,24.85,1320
3570,2007-05-11,25.0,25.0,25.0,25.0,120
3569,2007-05-15,26.25,26.25,26.25,26.25,960
3568,2007-05-16,26.0,27.55,25.05,27.5,4080
3567,2007-05-17,27.5,28.8,27.5,27.5,2640
3566,2007-05-18,27.5,28.8,27.25,27.25,960
3565,2007-05-21,27.4,27.4,25.9,25.9,360
3564,2007-05-22,26.75,26.75,26.75,26.75,120
3563,2007-05-23,27.4,28.0,27.4,28.0,1800
3562,2007-05-24,27.9,28.0,27.9,27.95,2760
3561,2007-05-25,27.45,29.3,27.3,29.3,5520
3560,2007-05-28,30.75,30.75,29.5,29.5,360
3559,2007-05-30,28.05,30.0,28.05,30.0,600
3558,2007-06-04,29.95,30.0,28.55,28.55,3600
3557,2007-06-06,28.55,28.55,28.55,28.55,600
3556,2007-06-07,29.9,29.9,29.9,29.9,480
3555,2007-06-11,31.25,31.25,28.45,28.45,240
3554,2007-06-13,29.85,29.85,29.85,29.85,600
3553,2007-06-14,28.4,28.4,28.4,28.4,240
3552,2007-06-19,27.0,27.0,27.0,27.0,1200
3551,2007-06-21,28.3,28.3,28.3,28.3,120
3550,2007-06-22,26.9,26.9,26.9,26.9,120
3549,2007-06-25,25.6,25.6,25.6,25.6,120
3548,2007-06-26,24.35,24.35,24.35,24.35,1440
3547,2007-06-27,23.15,23.15,23.15,23.15,120
3546,2007-06-28,22.0,22.0,22.0,22.0,240
3545,2007-07-03,20.95,20.95,20.95,20.95,120
3544,2007-07-04,19.95,19.95,19.95,19.95,120
3543,2007-07-05,19.0,19.0,19.0,19.0,240
3542,2007-07-06,19.9,19.9,18.1,18.1,3360
3541,2007-07-09,17.2,17.2,17.2,17.2,600
3540,2007-07-10,18.0,18.0,16.35,16.35,840
3539,2007-07-11,15.55,16.95,15.55,15.55,1320
3538,2007-07-12,14.8,14.95,14.8,14.8,1440
3537,2007-07-13,14.1,14.1,14.1,14.1,600
3536,2007-07-16,14.2,14.8,13.5,14.8,2640
3535,2007-07-17,15.45,15.5,15.2,15.5,1560
3534,2007-07-18,14.75,14.75,14.75,14.75,360
3533,2007-07-19,14.05,15.45,14.05,15.45,3240
3532,2007-07-20,14.75,16.2,14.7,15.2,2400
3531,2007-07-23,14.45,15.9,14.45,15.9,360
3530,2007-07-24,15.15,16.35,15.15,16.3,840
3529,2007-07-25,15.5,17.05,15.5,17.05,2400
3528,2007-07-26,17.5,17.5,17.5,17.5,120
3527,2007-07-27,18.0,18.0,18.0,18.0,120
3526,2007-08-01,17.9,17.9,17.9,17.9,120
3525,2007-08-02,18.7,18.7,18.7,18.7,120
3524,2007-08-08,19.5,19.5,19.5,19.5,120
3523,2007-08-09,18.55,18.55,18.55,18.55,120
3522,2007-08-10,19.4,19.4,19.4,19.4,120
3521,2007-08-14,20.3,20.3,20.3,20.3,120
3520,2007-08-16,21.3,21.3,19.3,19.3,240
3519,2007-08-17,20.25,20.25,20.25,20.25,120
3518,2007-08-20,21.25,21.25,19.25,19.25,240
3517,2007-08-21,20.2,20.2,20.2,20.2,120
3516,2007-08-22,21.2,21.2,21.2,21.2,120
3515,2007-08-23,22.25,22.25,22.25,22.25,240
3514,2007-08-24,23.35,23.35,21.15,21.15,240
3513,2007-08-27,22.2,22.2,22.2,22.2,120
3512,2007-08-28,23.25,23.25,23.25,23.25,120
3511,2007-08-29,24.4,24.4,22.1,24.4,600
3510,2007-08-30,25.6,25.6,23.2,23.2,240
3509,2007-08-31,24.0,24.0,24.0,24.0,120
3508,2007-09-03,25.2,25.2,25.2,25.2,120
3507,2007-09-04,26.25,26.25,26.25,26.25,120
3506,2007-09-06,27.5,27.5,27.5,27.5,120
3505,2007-09-07,28.8,28.8,28.8,28.8,120
3504,2007-09-10,28.8,28.8,28.8,28.8,120
3503,2007-09-11,30.2,30.2,30.2,30.2,120
3502,2007-09-12,31.65,31.65,31.65,31.65,120
3501,2007-09-13,30.1,30.1,30.1,30.1,720
3500,2007-09-21,31.6,31.6,28.6,30.8,24840
3499,2007-09-25,32.25,32.25,32.25,32.25,1200
3498,2007-09-28,33.85,33.85,30.65,30.65,600
3497,2007-10-01,32.15,32.15,29.15,29.15,240
3496,2007-10-04,30.6,30.6,30.4,30.4,1320
3495,2007-10-05,31.9,31.9,31.9,31.9,120
3494,2007-10-08,33.45,33.45,33.45,33.45,120
3493,2007-10-10,34.8,34.8,34.8,34.8,120
3492,2007-10-12,35.1,35.1,35.1,35.1,120
3491,2007-10-15,36.4,36.4,36.4,36.4,120
3490,2007-10-18,37.8,37.8,37.8,37.8,120
3489,2007-10-19,35.95,35.95,35.95,35.95,360
3488,2007-10-24,37.7,37.7,37.7,37.7,120
3487,2007-10-25,39.4,39.4,35.85,35.85,720
3486,2007-10-29,34.1,34.1,34.1,34.1,240
3485,2007-11-05,32.4,32.4,32.4,32.4,960
3484,2007-11-28,34.0,34.0,34.0,34.0,120
3483,2007-11-29,32.35,32.35,32.35,32.35,600
3482,2007-11-30,30.75,30.75,30.75,30.75,480
3481,2007-12-03,29.25,32.25,29.25,32.25,30000
3480,2007-12-04,33.75,33.85,30.65,33.35,24000
3479,2007-12-05,32.5,34.45,31.7,31.7,2040
3478,2007-12-06,30.15,33.25,30.15,32.3,7680
3477,2007-12-07,33.9,33.9,30.7,31.5,7200
3476,2007-12-10,29.95,29.95,29.95,29.95,120
3475,2007-12-11,30.0,30.0,30.0,30.0,240
3474,2007-12-13,28.55,31.4,28.55,29.1,51600
3473,2007-12-14,30.0,30.5,28.1,28.1,3360
3472,2007-12-17,26.7,26.7,26.7,26.7,240
3471,2007-12-18,25.4,25.4,25.4,25.4,360
3470,2007-12-19,24.15,25.0,24.15,24.9,13320
3469,2007-12-20,23.7,23.7,23.7,23.7,360
3468,2007-12-24,22.55,22.55,22.55,22.55,600
3467,2007-12-26,21.45,23.65,21.45,22.45,18840
3466,2007-12-27,21.35,21.35,21.35,21.35,2640
3465,2007-12-31,22.25,22.4,20.3,21.95,3960
3464,2008-01-01,22.9,22.9,22.9,22.9,2760
3463,2008-01-02,23.7,23.9,21.8,23.45,16200
3462,2008-01-03,24.4,24.6,22.3,23.85,14280
3461,2008-01-04,24.7,24.7,23.0,23.5,960
3460,2008-01-07,24.65,24.65,22.35,23.65,27720
3459,2008-01-08,24.0,24.8,22.5,24.75,19080
3458,2008-01-09,25.9,25.9,23.55,24.75,36000
3457,2008-01-10,25.9,25.95,23.55,25.6,19200
3456,2008-01-11,26.8,26.85,24.4,26.4,35400
3455,2008-01-14,27.7,27.7,27.7,27.7,12960
3454,2008-01-15,29.05,29.05,29.05,29.05,2640
3453,2008-01-16,30.5,30.5,28.05,30.4,63600
3452,2008-01-17,31.85,31.9,31.4,31.9,10200
3451,2008-01-18,33.45,33.45,30.35,33.2,21600
3450,2008-01-24,34.85,34.85,31.55,31.55,12600
3449,2008-01-28,30.0,30.0,30.0,30.0,120
3448,2008-01-29,28.55,31.5,28.55,31.15,8160
3447,2008-01-30,29.6,31.15,29.6,31.15,13320
3446,2008-01-31,29.6,32.7,29.6,32.7,14520
3445,2008-02-04,31.5,33.4,31.5,33.4,1800
3444,2008-02-08,31.75,31.75,31.75,31.75,240
3443,2008-02-11,30.2,30.2,30.2,30.2,240
3442,2008-02-12,31.2,31.6,28.7,28.7,20040
3441,2008-02-15,29.9,29.9,27.3,27.3,42120
3440,2008-02-18,25.95,25.95,25.95,25.95,120
3439,2008-02-21,24.7,24.7,24.7,24.7,1200
3438,2008-02-25,23.5,23.5,23.5,23.5,1200
3437,2008-03-07,22.35,22.35,22.35,22.35,1200
3436,2008-03-14,21.25,21.25,21.25,21.25,120
3435,2008-04-01,22.0,22.0,22.0,22.0,120
3434,2008-04-02,21.0,21.0,20.95,20.95,360
3433,2008-04-03,19.95,19.95,19.95,19.95,120
3432,2008-04-04,19.0,19.0,19.0,19.0,120
3431,2008-04-07,19.95,19.95,19.95,19.95,120
3430,2008-04-08,19.0,20.55,19.0,20.55,240
3429,2008-04-11,21.2,21.2,21.2,21.2,1080
3428,2008-04-16,22.2,22.2,22.2,22.2,120
3427,2008-04-17,23.0,23.0,23.0,23.0,120
3426,2008-04-21,23.5,23.5,23.5,23.5,120
3425,2008-04-24,24.0,24.0,24.0,24.0,120
3424,2008-04-25,24.5,24.5,24.4,24.4,240
3423,2008-04-28,24.6,25.4,24.6,25.4,600
3422,2008-04-29,26.6,26.6,26.6,26.6,120
3421,2008-04-30,27.85,27.85,27.85,27.85,120
3420,2008-05-02,27.5,27.5,27.5,27.5,120
3419,2008-05-05,28.85,28.85,26.15,26.15,240
3418,2008-05-06,24.85,24.85,24.85,24.85,2040
3417,2008-05-09,26.05,26.05,23.65,23.65,6600
3416,2008-05-12,24.65,24.65,23.0,24.6,1920
3415,2008-05-13,25.8,25.8,25.8,25.8,6720
3414,2008-05-14,27.05,27.05,24.65,26.15,6120
3413,2008-05-15,27.4,27.45,27.4,27.45,4722
3412,2008-05-16,28.8,28.8,27.5,28.8,11464
3411,2008-05-20,30.2,30.2,30.2,30.2,5732
3410,2008-05-21,31.7,31.7,31.7,31.7,2682
3409,2008-05-22,33.25,33.25,33.25,33.25,3919
3408,2008-05-23,34.9,34.9,34.9,34.9,7806
3407,2008-05-26,36.6,36.6,36.6,36.6,1752
3406,2008-05-27,38.4,38.4,38.4,38.4,1770
3405,2008-05-28,40.3,40.3,38.4,40.3,82642
3404,2008-05-29,42.3,42.3,42.3,42.3,8012
3403,2008-05-30,44.4,44.4,44.35,44.4,9150
3402,2008-06-02,46.6,46.6,46.6,46.6,1318
3401,2008-06-03,48.9,48.9,44.2999,48.9,36829
3400,2008-06-04,51.3,51.3,51.3,51.3,13498
3399,2008-06-05,53.85,53.85,53.85,53.85,5543
3398,2008-06-06,56.5,56.5,56.5,56.5,2694
3397,2008-06-09,57.9499,59.2999,57.9499,59.2999,65832
3396,2008-06-10,62.25,62.25,61.95,62.2,96470
3395,2008-06-11,59.1,64.6999,59.1,59.1,127774
3394,2008-06-12,59.1,59.1,56.1499,56.1499,8405
3393,2008-06-13,53.35,53.35,53.35,53.35,732
3392,2008-06-16,50.7,50.7,50.7,50.7,3125
3391,2008-06-17,48.1999,48.1999,48.1999,48.1999,8496
3390,2008-06-18,45.7999,45.7999,45.7999,45.7999,12762
3389,2008-06-19,43.55,43.55,43.55,43.55,1297
3388,2008-06-20,41.4,41.4,41.4,41.4,10932
3387,2008-06-23,39.35,43.45,39.35,42.7,12140
3386,2008-06-24,44.8,44.8,40.6,44.7499,13717
3385,2008-06-25,46.9,46.95,42.55,46.95,26389
3384,2008-06-26,49.2499,49.2499,49.2499,49.2499,15221
3383,2008-06-27,51.7,51.7,46.8,46.8,1818
3382,2008-06-30,44.5,44.5,44.5,44.5,606
3381,2008-07-01,42.3,46.45,42.3,42.3,3901
3380,2008-07-02,40.2,44.4,40.2,43.4,9283
3379,2008-07-03,41.3,45.45,41.25,44.95,13692
3378,2008-07-04,45.4999,47.1499,45.4999,47.1499,5364
3377,2008-07-07,49.5,49.5,49.5,49.5,44600
3376,2008-07-08,51.9499,51.9499,47.05,51.9499,38364
3375,2008-07-09,54.4999,54.4999,54.4999,54.4999,3127
3374,2008-07-10,57.1999,57.1999,57.1999,57.1999,1488
3373,2008-07-11,60.0499,60.0499,60.0499,60.0499,57553
3372,2008-07-14,61.95,63.0499,57.0499,62.65,102990
3371,2008-07-15,65.7499,65.7499,64.8,65.7499,20130
3370,2008-07-16,69.0,69.0,63.7,64.45,43450
3369,2008-07-17,61.6,66.9499,61.6,64.75,37816
3368,2008-07-18,67.5,67.5,61.65,62.1499,8357
3367,2008-07-21,60.0,63.0,60.0,61.9,39254
3366,2008-07-22,64.0,64.9,58.9999,59.4,45218
3365,2008-07-23,61.5,62.35,60.0,62.35,32672
3364,2008-07-24,62.8999,62.8999,59.25,59.4,10080
3363,2008-07-25,57.0,57.0,57.0,57.0,60
3362,2008-07-28,59.85,59.85,54.1999,54.25,3688
3361,2008-07-29,51.6,55.5,51.55,52.9999,608
3360,2008-07-30,52.9999,52.9999,50.4,52.9999,2401
3359,2008-07-31,50.4,52.3999,50.4,51.9,5461
3358,2008-08-01,54.4,54.4,49.35,49.5,265
3357,2008-08-04,47.1,48.25,47.05,47.2,5542
3356,2008-08-05,44.85,46.9,44.85,44.85,20678
3355,2008-08-06,43.0,43.9,42.65,42.65,2995
3354,2008-08-07,40.55,44.7,40.55,43.45,21552
3353,2008-08-08,41.35,44.95,41.3,44.05,15634
3352,2008-08-11,42.05,43.8,41.85,41.85,1982
3351,2008-08-12,41.65,41.65,40.0,40.95,15199
3350,2008-08-13,40.5,41.2,39.75,39.85,8046
3349,2008-08-14,40.0,40.8,38.5,39.9,4380
