,timestamp,open,high,low,close,volume,bb_upper,bb_middle,bb_lowerband,macd,macd_signal,macdhist,macd_useful,rsi,stochastic_k,stochastic_d,useful_stochastic,returns
4136,2005-02-21,1029.9983,1031.4981,1014.998,1019.5979,597763,1030.7294260778885,1015.8380400000002,1000.9466539221119,20.72264069355299,16.790944973533115,3.9316957200198743,1.2341557146555626,59.97693410069355,71.1641707083625,65.3530052279447,1.0889196366739224,-0.0687032603735257
4135,2005-02-22,1016.9982,1077.498,1015.9979,1067.3478,3194430,1068.0446012775099,1028.72802,989.4114387224902,24.5546496161528,18.343685902057054,6.210963714095747,1.3385886428310056,69.5929431460671,76.9640932507974,71.82709687952693,1.0715189196618453,-0.08830280064286455
4134,2005-02-23,1067.9981,1102.6481,1057.9982,1089.5981,2679584,1102.1042217398367,1044.0679800000003,986.0317382601638,29.05206344877479,20.4853614114006,8.566702037374188,1.4181865218451362,72.86460724935134,79.95639773822926,76.0282205657964,1.0516673564526389,-0.08870252251724742
4133,2005-02-24,1090.998,1094.8478,1051.9979,1058.2979,1585119,1104.7452118826084,1051.8679200000001,998.990628117392,29.747718577481123,22.337832844616706,7.409885732864417,1.3317190966737025,62.65223137575122,74.01216862906247,76.97755320602973,0.9614772819677649,-0.058537109447160396
4132,2005-02-25,1064.6978,1090.998,1051.4979,1081.8482,1265087,1112.2206788461658,1063.3379800000002,1014.4552811538347,31.83239859481546,24.236745994656456,7.595652600159003,1.3133940753364184,66.46107636202949,70.76873164468655,74.91243267065944,0.9446860704125041,-0.0983039025253265
4131,2005-02-28,1080.9981,1125.4977,1079.9978,1085.7479,3382557,1100.244858579871,1076.5679800000003,1052.8911014201294,33.414019707031116,26.07220073713139,7.341818969899727,1.2815956751761153,67.06013575395262,63.122998905109284,69.30129972628612,0.9108487020361987,-0.10734499233201378
4130,2005-03-01,1092.9978,1147.9977,1085.9981,1136.2977,2483672,1141.2111071132433,1090.3579600000003,1039.5048128867572,38.304857675780795,28.51873212486127,9.786125550919525,1.3431472867753629,73.63420843972735,75.94792096531022,69.94655050503536,1.085799377052094,-0.14485605312762673
4129,2005-03-02,1140.098,1143.9977,1105.0979,1113.5979,1389144,1149.2457933775186,1095.15792,1041.0700466224816,39.889377934194044,30.792861286727824,9.09651664746622,1.2954099186419858,67.15287207408802,71.9756113336938,70.34884373470443,1.0231242976092705,-0.13456338234833243
4128,2005-03-03,1119.398,1134.9977,1091.2478,1100.2977,1295741,1143.2752029930475,1103.55788,1063.8405570069526,39.61524676418503,32.557338382219264,7.057908381965767,1.2167839489551255,63.619448805686964,67.59931108665519,71.84094779521973,0.9409579517150137,-0.11855845922426267
4127,2005-03-04,1109.9979,1130.9981,1104.998,1117.2479,1670394,1144.5472390105979,1110.6378200000004,1076.7284009894029,40.301168533959526,34.10610441256732,6.195064121392207,1.1816409181902776,66.06974999636172,56.567316700545945,65.38074637363164,0.8651983930755464,-0.13381085791255465
