,timestamp,open,high,low,close,volume
2690,2005-01-03,4.05,4.06,3.59,4.02,36452
2689,2005-01-04,3.9,4.82,3.36,4.82,36910
2688,2005-01-05,5.25,5.26,3.86,3.92,42929
2687,2005-01-06,4.7,4.7,3.25,3.56,12864
2686,2005-01-07,3.6,4.07,3.55,4.07,1100
2685,2005-01-10,4.8,4.8,4.0,4.55,23101
2684,2005-01-11,4.54,4.6,4.0,4.0,4402
2683,2005-01-12,3.52,3.52,3.21,3.21,5290
2682,2005-01-13,3.25,3.5,3.01,3.49,19485
2681,2005-01-14,3.8,3.8,3.8,3.8,100
2680,2005-01-17,3.4,3.4,3.05,3.05,5950
2679,2005-01-18,3.05,3.43,3.05,3.29,1375
2678,2005-01-19,2.9,3.2,2.71,3.0,5260
2677,2005-01-20,2.7,2.7,2.7,2.7,100
2676,2005-01-24,2.18,2.45,2.18,2.27,5300
2675,2005-01-25,2.12,2.52,2.11,2.52,3400
2674,2005-01-27,2.89,2.9,2.43,2.47,2200
2673,2005-01-28,2.79,2.8,2.54,2.57,710
2672,2005-01-31,2.57,2.57,2.4,2.42,10000
2671,2005-02-01,2.32,2.34,2.31,2.34,500
2670,2005-02-02,2.31,2.31,2.31,2.31,1700
2669,2005-02-03,2.3,2.65,2.3,2.64,1800
2668,2005-02-04,2.6,2.71,2.6,2.71,3300
2667,2005-02-07,2.7,2.7,2.33,2.34,3000
2666,2005-02-08,2.75,2.8,2.6,2.76,4040
2665,2005-02-09,3.15,3.3,3.15,3.29,5250
2664,2005-02-10,3.9,3.94,3.25,3.42,17000
2663,2005-02-11,3.24,3.25,3.05,3.07,3900
2662,2005-02-14,3.2,3.4,3.1,3.4,5005
2661,2005-02-15,3.2,3.2,3.2,3.2,1600
2660,2005-02-16,3.12,3.25,3.01,3.25,6800
2659,2005-02-17,3.2,3.2,3.18,3.18,1100
2658,2005-02-18,3.06,3.06,3.06,3.06,400
2657,2005-02-21,3.2,3.25,3.2,3.2,5038
2656,2005-02-22,3.59,3.59,3.06,3.06,1993
2655,2005-02-23,3.06,3.22,3.06,3.21,3700
2654,2005-02-24,3.1,3.1,3.1,3.1,3000
